text,label
Software Engineer with 2 years experience in SQL and Node. Worked on real-world projects and APIs.,0
Backend developer with 2 years experience using AI and databases like SQL.,0
Fresher but expert in SQL SQL Cloud Node Java,1
Backend developer with 1 years experience using Java and databases like React.,0
Developed applications using 2 and React for Java years with strong problem solving.,0
Software Engineer with 4 years experience in AWS and AWS. Worked on real-world projects and APIs.,0
Backend developer with 3 years experience using Node and databases like AI.,0
Software Engineer with 4 years experience in Python and Python. Worked on real-world projects and APIs.,0
Backend developer with 2 years experience using Docker and databases like React.,0
Worked on machine learning projects using 2 and Python with React years experience.,0
Developed applications using 5 and SQL for Java years with strong problem solving.,0
Knows Python Cloud AWS ML Python AWS ML with no real experience,1
Expert in React React Docker Node Cloud with 1 month experience,1
Knows SQL SQL Docker AI Python React SQL with no real experience,1
Expert in Docker Python Java Cloud AI with 1 month experience,1
Fresher but expert in ML Python Node ML SQL,1
Fresher but expert in Node Python SQL Cloud SQL,1
Expert in AI SQL ML SQL React with 1 month experience,1
Worked at Google Microsoft Amazon simultaneously for 1 year,1
Backend developer with 2 years experience using Docker and databases like Docker.,0
Knows SQL AI Java Python Node React Java with no real experience,1
Fresher but expert in AI Node AWS Java Docker,1
Knows Cloud Python Cloud Cloud ML Java AI with no real experience,1
Master in Cloud Docker Cloud Java Cloud Node in 2 weeks,1
Worked at Google Microsoft Amazon simultaneously for 1 year,1
Software Engineer with 3 years experience in SQL and AI. Worked on real-world projects and APIs.,0
Software Engineer with 5 years experience in Node and React. Worked on real-world projects and APIs.,0
Backend developer with 4 years experience using Cloud and databases like Docker.,0
Developed applications using 3 and React for SQL years with strong problem solving.,0
Frontend developer skilled in 4 and Python with Java years of experience.,0
Expert in Docker Python AWS React AWS with 1 month experience,1
Software Engineer with 5 years experience in AI and Docker. Worked on real-world projects and APIs.,0
Software Engineer with 1 years experience in AI and SQL. Worked on real-world projects and APIs.,0
Worked at Google Microsoft Amazon simultaneously for 1 year,1
Fresher but expert in Python AWS Docker SQL Java,1
Software Engineer with 2 years experience in Cloud and React. Worked on real-world projects and APIs.,0
Worked on machine learning projects using 5 and ML with ML years experience.,0
Fresher but expert in Cloud SQL React Docker Docker,1
Worked at Google Microsoft Amazon simultaneously for 1 year,1
Software Engineer with 3 years experience in Docker and React. Worked on real-world projects and APIs.,0
